"sp" "environment" "DF" "SVL" "logDF" "logSVL"
"334" "Rhacophorus_chenfui" "still" 2329 41 3.36716948853468 1.61278385671974
"335" "Rhacophorus_schlegelii" "still" 1900 43 3.27875360095283 1.63346845557959
"336" "Rhacophorus_omeimontis" "still" 972 70 2.98766626492627 1.84509804001426
"337" "Staurois_natator" "running" 4746 35.5 3.67632773388132 1.55022835305509
"338" "Amolops_chunganensis" "running" 3425 39 3.53466057582844 1.5910646070265
"339" "Odorrana_schmackeri" "running" 3479 46 3.54145442874759 1.66275783168157
"340" "Rana_utsunomiyaorum" "running" 2326 48.1 3.36660971039243 1.68214507637383
"341" "Rana_supranarina" "running" 1840 76.8 3.26481782300954 1.88536122003151
"342" "Rana_amamiensis" "running" 2850 69 3.45484486000851 1.83884909073726
"343" "Rana_pretiosa" "still" 1000 75 3 1.8750612633917
"344" "Rana_forreri" "still" 850 90 2.92941892571429 1.95424250943932
"345" "Phyllomedusa_camba" "still" 860 74 2.93449845124357 1.86923171973098
"346" "Phyllomedusa_trinitatis" "still" 800 81 2.90308998699194 1.90848501887865
"347" "Phyllomedusa_neildi" "still" 762 63.8 2.8819549713396 1.80482067872116
"348" "Phyllomedusa_sauvagii" "still" 2000 89.2 3.30102999566398 1.95036485437612
"349" "Phyllomedusa_burmeisteri" "still" 1500 75.8 3.17609125905568 1.87966920563205
"350" "Phyllomedusa_tetraploidea" "still" 1700 63.8 3.23044892137827 1.80482067872116
"351" "Phyllomedusa_distincta" "still" 1250 66 3.09691001300806 1.81954393554187
"352" "Phyllomedusa_hypochondrialis" "still" 2047 43.73 3.31111784266251 1.64077947734486
"353" "Phyllomedusa_azurea" "still" 2333 43.46 3.36791473879375 1.63808972198451
"354" "Litoria_tornieri" "still" 2725 33 3.43536650661266 1.51851393987789
"355" "Cyclorana_manya" "still" 2500 29.9 3.39794000867204 1.47567118832443
"356" "Hyloscirtus_palmeri" "running" 2500 45 3.39794000867204 1.65321251377534
"357" "Hyloscirtus_tapichalaca" "running" 1469 63.8 3.16702179579026 1.80482067872116
"358" "Hyloscirtus_lindae" "running" 1553 68.1 3.19117145572856 1.83314711191279
"359" "Hyloscirtus_pantostictus" "running" 1570 63 3.19589965240923 1.79934054945358
"360" "Hyloscirtus_pacha" "running" 1854 60.8 3.26810972980848 1.78390357927273
"361" "Aplastodiscus_callipygius" "running" 1040 50.7 3.01703333929878 1.70500795933334
"362" "Sphaenorhynchus_lacteus" "still" 2240 41.5 3.35024801833416 1.61804809671209
"363" "Scinax_berthae" "still" 4886 22.2 3.68895346263742 1.34635297445064
"364" "Scinax_uruguayus" "still" 4350 25.8 3.63848925695464 1.41161970596323
"365" "Scinax_boulengeri" "still" 1615 48.7 3.20817252666712 1.68752896121463
"366" "Scinax_sugillatus" "still" 2023 42 3.3059958827708 1.6232492903979
"367" "Scinax_rostratus" "still" 3050 45.7 3.48429983934679 1.65991620006985
"368" "Scinax_proboscideus" "still" 2012 39.8 3.30362797638389 1.59988307207369
"369" "Scinax_staufferi" "still" 3056 29 3.48515334990365 1.46239799789896
"370" "Scinax_boesemani" "still" 1420 31.1 3.15228834438306 1.49276038902684
"371" "Scinax_cruentommus" "still" 3300 28 3.51851393987789 1.44715803134222
"372" "Scinax_nasicus" "still" 1064 37 3.02694162795903 1.56820172406699
"373" "Scinax_x-signatus" "still" 1110 42.5 3.04532297878666 1.62838893005031
"374" "Scinax_ruber" "still" 700 41.2 2.84509804001426 1.61489721603313
"375" "Dendropsophus_allenorum" "still" 3430 21.4 3.53529412004277 1.33041377334919
"376" "Dendropsophus_marmoratus" "still" 1514 44 3.18012587516405 1.64345267648619
"377" "Dendropsophus_seniculus" "still" 3969 37.7 3.59868109890716 1.57634135020579
"378" "Dendropsophus_koechlini" "still" 4500 24 3.65321251377534 1.38021124171161
"379" "Dendropsophus_brevifrons" "still" 4254 22 3.62879748556671 1.34242268082221
"380" "Dendropsophus_giesleri" "still" 3300 25 3.51851393987789 1.39794000867204
"381" "Dendropsophus_carnifex" "still" 2490 27.7 3.39619934709574 1.44247976906445
"382" "Dendropsophus_labialis" "still" 1750 43 3.24303804868629 1.63346845557959
"383" "Dendropsophus_anceps" "still" 3244 40 3.51108084553912 1.60205999132796
"384" "Dendropsophus_elegans" "still" 3500 29.6 3.54406804435028 1.47129171105894
"385" "Dendropsophus_ebraccatus" "still" 2577 27.8 3.4111144185509 1.44404479591808
"386" "Dendropsophus_sarayacuensis" "still" 2990 29 3.47567118832443 1.46239799789896
"387" "Dendropsophus_bifurcus" "still" 2958 28 3.47099816966087 1.44715803134222
"388" "Dendropsophus_leali" "still" 6200 23 3.79239168949825 1.36172783601759
"389" "Dendropsophus_rhodopeplus" "still" 5670 24.2 3.75358305889291 1.38381536598043
"390" "Dendropsophus_microcephalus" "still" 6210 24.5 3.79309160017658 1.38916608436453
"391" "Dendropsophus_robertmertensi" "still" 5388 26.4 3.73142758705095 1.42160392686983
"392" "Dendropsophus_sartori" "still" 3217 26 3.50745106090197 1.41497334797082
"393" "Dendropsophus_riveroi" "still" 5314 20 3.72542155007426 1.30102999566398
"394" "Dendropsophus_bipunctatus" "still" 5426 25 3.73447978942558 1.39794000867204
"395" "Dendropsophus_berthalutzae" "still" 4041 21 3.60648885044265 1.32221929473392
"396" "Dendropsophus_minusculus" "still" 9186 20.6 3.9631264410819 1.31386722036915
"397" "Dendropsophus_sanborni" "still" 5100 17 3.70757017609794 1.23044892137827
"398" "Dendropsophus_rubicundulus" "still" 3500 28.3 3.54406804435028 1.45178643552429
"399" "Trachycephalus_nigromaculatus" "still" 1990 86 3.29885307640971 1.93449845124357
"400" "Osteopilus_septentrionalis" "still" 2300 89 3.36172783601759 1.94939000664491
"401" "Pseudacris_illinoensis" "still" 2168 43 3.33605927786635 1.63346845557959
"402" "Pseudacris_fouquettei" "still" 3138 29.8 3.49665293925092 1.47421626407626
"403" "Pseudacris_clarkii" "still" 3072 29 3.48742121135947 1.46239799789896
"404" "Pseudacris_feriarum" "still" 2977 27.3 3.47377883464672 1.43616264704076
"405" "Pseudacris_kalmi" "still" 2972 38.1 3.47304880508854 1.58092497567562
"406" "Pseudacris_nigrita" "still" 3149 28 3.49817266063654 1.44715803134222
"407" "Ptychohyla_euthysanota" "running" 3100 37.3 3.49136169383427 1.57170883180869
"408" "Hyla_chinensis" "still" 4000 32 3.60205999132796 1.50514997831991
"409" "Hyla_meridionalis" "still" 2750 50 3.43933269383026 1.69897000433602
"410" "Hyla_arborea" "still" 2122 50 3.32674537956532 1.69897000433602
"411" "Hyla_intermedia" "still" 2388 50 3.37803432245733 1.69897000433602
"412" "Hyla_molleri" "still" 2750 45 3.43933269383026 1.65321251377534
"413" "Hyla_gratiosa" "still" 1840 68 3.26481782300954 1.83250891270624
"414" "Hyla_versicolor" "still" 2200 51 3.34242268082221 1.70757017609794
"415" "Hyla_chrysoscelis" "still" 2400 51 3.38021124171161 1.70757017609794
"416" "Proceratophrys_melanopogon" "running" 1179 49.9 3.07151380509509 1.69810054562339
"417" "Proceratophrys_avelinoi" "running" 1600 29.2 3.20411998265592 1.46538285144842
"418" "Proceratophrys_goyana" "running" 1006 46.5 3.00259798071991 1.66745295288995
"419" "Proceratophrys_concavitympanum" "running" 818 57.1 2.91275330367132 1.75663610824585
"420" "Cycloramphus_boraceiensis" "running" 1950 51.3 3.29003461136252 1.71011736511182
"421" "Thoropa_miliaris" "running" 600 71.5 2.77815125038364 1.85430604180108
"422" "Crossodactylus_caramaschii" "running" 5000 25.8 3.69897000433602 1.41161970596323
"423" "Hylodes_dactylocinus" "running" 2973 27 3.47319490920494 1.43136376415899
"424" "Hylodes_meridionalis" "running" 4400 37.5 3.64345267648619 1.57403126772772
"425" "Hylodes_perplicatus" "running" 3400 39.8 3.53147891704225 1.59988307207369
"426" "Batrachyla_antartandica" "still" 1951 36.7 3.29025726939452 1.56466606425209
"427" "Paratelmatobius_cardosoi" "still" 2550 17.9 3.40654018043396 1.25285303097989
"428" "Pleurodema_brachyops" "still" 732 49 2.86451108105839 1.69019608002851
"429" "Pleurodema_bibroni" "still" 1960 38 3.29225607135648 1.57978359661681
"430" "Edalorhina_perezi" "still" 2700 30.2 3.43136376415899 1.48000694295715
"431" "Engystomops_pustulosus" "still" 546 34 2.73719264270474 1.53147891704226
"432" "Engystomops_pustulatus" "still" 947 29.9 2.97634997900327 1.47567118832443
"433" "Engystomops_guayaco" "still" 2114 19.4 3.32510498297141 1.28780172993023
"434" "Engystomops_coloradorum" "still" 1060 24.1 3.02530586526477 1.38201704257487
"435" "Engystomops_randi" "still" 1116 18.56 3.04766419460156 1.26857797188284
"436" "Eupemphix_nattereri" "still" 710 42.7 2.85125834871908 1.63042787502502
"437" "Physalaemus_albonotatus" "still" 2399 32.4 3.38003024796783 1.51054501020661
"438" "Physalaemus_cuvieri" "still" 690 25.9 2.83884909073726 1.41329976408125
"439" "Physalaemus_ephippifer" "still" 840 28 2.92427928606188 1.44715803134222
"440" "Physalaemus_biligonigerus" "still" 568 45 2.75434833571102 1.65321251377534
"441" "Physalaemus_barrioi" "still" 2265 29.45 3.35506820634885 1.46908529912312
"442" "Lithodytes_lineatus" "still" 2600 47 3.41497334797082 1.67209785793572
"443" "Leptodactylus_chaquensis" "still" 365 99.7 2.56229286445647 1.99869515831166
"444" "Leptodactylus_ocellatus" "still" 175 120 2.24303804868629 2.07918124604762
"445" "Leptodactylus_leptodactyloides" "still" 1200 48 3.07918124604762 1.68124123737559
"446" "Leptodactylus_melanonotus" "still" 1840 46 3.26481782300954 1.66275783168157
"447" "Leptodactylus_podicipinus" "still" 1970 44.7 3.29446622616159 1.65030752313194
"448" "Leptodactylus_diedrus" "still" 820 40.4 2.91381385238372 1.6063813651106
"449" "Leptodactylus_griseigularis" "still" 2770 51 3.44247976906445 1.70757017609794
"450" "Leptodactylus_rhodonotus" "still" 2000 79 3.30102999566398 1.89762709129044
"451" "Leptodactylus_vastus" "still" 430 180.3 2.63346845557959 2.2559957267224
"452" "Leptodactylus_knudseni" "still" 500 159 2.69897000433602 2.20139712432045
"453" "Leptodactylus_pentadactylus" "still" 545 177 2.73639650227664 2.24797326636181
"454" "Leptodactylus_mystacinus" "still" 2275 65 3.35698140099313 1.81291335664286
"455" "Leptodactylus_spixi" "still" 1634 43 3.2132520521964 1.63346845557959
"456" "Leptodactylus_notoaktites" "still" 1230 50.8 3.0899051114394 1.70586371228392
"457" "Leptodactylus_didymus" "still" 780 46.7 2.89209460269048 1.66931688056611
"458" "Leptodactylus_mystaceus" "still" 1056 52.2 3.02366391819779 1.71767050300226
"459" "Leptodactylus_fuscus" "still" 560 52.1 2.7481880270062 1.71683772329952
"460" "Leptodactylus_bufonius" "still" 1500 53.6 3.17609125905568 1.72916478969277
"461" "Leptodactylus_longirostris" "still" 2315 40 3.36455099535397 1.60205999132796
"462" "Leptodactylus_gracilis" "still" 1970 47.8 3.29446622616159 1.67942789661212
"463" "Hyalinobatrachium_valerioi" "running" 7250 24 3.86033800657099 1.38021124171161
"464" "Hyalinobatrachium_pellucidum" "running" 5039 21.4 3.70234435835577 1.33041377334919
"465" "Hyalinobatrachium_colymbiphyllum" "running" 4500 27 3.65321251377534 1.43136376415899
"466" "Hyalinobatrachium_iaspidiense" "running" 4940 20.1 3.69372694892365 1.30319605742049
"467" "Hyalinobatrachium_taylori" "running" 4495 21.6 3.65272969606925 1.33445375115093
"468" "Hyalinobatrachium_ignioculus" "running" 4920 23 3.69196510276736 1.36172783601759
"469" "Hyalinobatrachium_eccentricum" "running" 4160 23 3.61909333062674 1.36172783601759
"470" "Hyalinobatrachium_crurifasciatum" "running" 4300 24 3.63346845557959 1.38021124171161
"471" "Hyalinobatrachium_carlesvilai" "running" 4838 23.6 3.68466586402586 1.37291200297011
"472" "Hyalinobatrachium_fleischmanni" "running" 5395 25.5 3.73199144901893 1.40654018043396
"473" "Hyalinobatrachium_fragile" "running" 3846 24.5 3.58500927990246 1.38916608436453
"474" "Hyalinobatrachium_orocostale" "running" 3435 25.5 3.53592674139557 1.40654018043396
"475" "Hyalinobatrachium_pallidum" "running" 3259 22.4 3.51308436046514 1.35024801833416
"476" "Vitreorana_eurygnatha" "running" 4850 22.5 3.68574173860226 1.35218251811136
"477" "Vitreorana_antisthenesi" "running" 5432 27 3.73495976127245 1.43136376415899
"478" "Vitreorana_gorzulae" "running" 4787 22.5 3.68006342748195 1.35218251811136
"479" "Vitreorana_helenae" "running" 4495 20.4 3.65272969606925 1.3096301674259
"480" "Teratohyla_pulverata" "running" 5950 29 3.77451696572855 1.46239799789896
"481" "Teratohyla_midas" "running" 4680 26.8 3.67024585307412 1.42813479402879
"482" "Teratohyla_spinosa" "running" 7000 20 3.84509804001426 1.30102999566398
"483" "Cochranella_granulosa" "running" 4250 29 3.62838893005031 1.46239799789896
"484" "Cochranella_mache" "running" 5410 24 3.73319726510657 1.38021124171161
"485" "Cochranella_euknemos" "running" 4200 25 3.6232492903979 1.39794000867204
"486" "Espadarana_prosoblepon" "running" 5758 28 3.76027166054206 1.44715803134222
"487" "Rulyrana_spiculata" "running" 4639 27.7 3.66642437251876 1.44247976906445
"488" "Nymphargus_pluvialis" "running" 3941 26.5 3.5956064348656 1.42324587393681
"489" "Nymphargus_griffithsi" "running" 4107 24.2 3.61352470285365 1.38381536598043
"490" "Centrolene_daidaleum" "running" 6120 24.1 3.78675142214556 1.38201704257487
"491" "Centrolene_savagei" "running" 6214 24.1 3.79337124891896 1.38201704257487
"492" "Centrolene_peristictum" "running" 6878 20.6 3.83746217148599 1.31386722036915
"493" "Centrolene_venezuelense" "running" 4050 33.8 3.60745502321467 1.52891670027765
"494" "Centrolene_hesperium" "running" 3630 27.3 3.55990662503611 1.43616264704076
"495" "Centrolene_buckleyi" "running" 2500 34.7 3.39794000867204 1.54032947479087
"496" "Atelopus_pulcher" "running" 2429 29.3 3.38542751480513 1.46686762035411
"497" "Atelopus_spumarius" "running" 3375 29 3.52827377716704 1.46239799789896
"498" "Atelopus_peruensis" "running" 1950 38.5 3.29003461136252 1.5854607295085
"499" "Atelopus_chiriquiensis" "running" 2025 34 3.30642502755069 1.53147891704226
"500" "Atelopus_zeteki" "running" 1820 40 3.26007138798507 1.60205999132796
"501" "Bufo_marmoreus" "running" 1825 83 3.26126286879249 1.91907809237607
"502" "Bufo_nebulifer" "still" 1475 98 3.16879202031418 1.99122607569249
"503" "Bufo_quercicus" "still" 4750 32 3.67669360962487 1.50514997831991
"504" "Bufo_retiformis" "still" 3113 47 3.49317912068252 1.67209785793572
"505" "Bufo_houstonensis" "still" 2151 77 3.33264041038746 1.88649072517248
"506" "Pelophryne_misera" "still" 4000 21 3.60205999132796 1.32221929473392
"507" "Ansonia_longidigita" "running" 3500 50 3.54406804435028 1.69897000433602
"508" "Ansonia_hanitschi" "running" 5700 32 3.75587485567249 1.50514997831991
"509" "Ansonia_platysoma" "running" 8000 25 3.90308998699194 1.39794000867204
