"sp" "environment" "DF" "SVL" "logDF" "logSVL"
"77" "Boophis_marojezensis" "running" 5583 27 3.74686762785043 1.43136376415899
"78" "Boophis_sibilans" "running" 3300 32.5 3.51851393987789 1.51188336097887
"79" "Boophis_rappiodes" "running" 3000 25.1 3.47712125471966 1.39967372148104
"80" "Guibemantis_tornieri" "still" 1850 49 3.26717172840301 1.69019608002851
"81" "Blommersia_blommersae" "still" 6000 21.3 3.77815125038364 1.32837960343874
"82" "Blommersia_domerguei" "still" 4350 17 3.63848925695464 1.23044892137827
"83" "Mantella_viridis" "running" 4350 25 3.63848925695464 1.39794000867204
"84" "Mantidactylus_argenteus" "running" 4250 27 3.62838893005031 1.43136376415899
"85" "Mantidactylus_charlotteae" "running" 2900 26.2 3.46239799789896 1.41830129131975
"86" "Mantidactylus_opiparis" "running" 3150 26.1 3.4983105537896 1.41664050733828
"87" "Buergeria_robusta" "running" 1850 52 3.26717172840301 1.7160033436348
"88" "Ghatixalus_variabilis" "running" 3135 48 3.49623754516674 1.68124123737559
"89" "Rhacophorus_dennysi" "still" 1321 96 3.12090281761453 1.98227123303957
"90" "Rhacophorus_arboreus" "still" 1400 60 3.14612803567824 1.77815125038364
"91" "Rhacophorus_dugritei" "still" 1600 40.8 3.20411998265592 1.61066016308988
"92" "Kurixalus_idiootocus" "still" 2300 24.9 3.36172783601759 1.39619934709574
"93" "Staurois_latopalmatus" "running" 5149 47.7 3.71172289182723 1.67851837904011
"94" "Staurois_parvus" "running" 5578 23.6 3.74647850993003 1.37291200297011
"95" "Staurois_tuberilinguis" "running" 5240 30.2 3.71933128698373 1.48000694295715
"96" "Rana_curtipes" "still" 1222 51.4 3.08707120590654 1.71096311899528
"97" "Huia_masonii" "running" 12000 37.8 4.07918124604763 1.57749179983723
"98" "Huia_cavitympanum" "running" 15966 52 4.20319612493503 1.7160033436348
"99" "Meristogenys_orphnocnemis" "running" 7205 37.3 3.85763398515001 1.57170883180869
"100" "Meristogenys_jerboa" "running" 5650 44 3.75204844781944 1.64345267648619
"101" "Amolops_wuyiensis" "running" 2232 47 3.34869419026554 1.67209785793572
"102" "Amolops_larutensis" "running" 5033 30 3.70182693039714 1.47712125471966
"103" "Amolops_panhai" "running" 6500 34 3.81291335664286 1.53147891704226
"104" "Rana_plancyi" "still" 1840 50 3.26481782300954 1.69897000433602
"105" "Rana_nigromaculata" "still" 2043 81 3.31026836663245 1.90848501887865
"106" "Rana_lessonae" "still" 1831 57 3.2626883443017 1.75587485567249
"107" "Rana_luctuosa" "still" 1500 68 3.17609125905568 1.83250891270624
"108" "Rana_erythraea" "still" 2459 48 3.39075852873872 1.68124123737559
"109" "Rana_temporalis" "running" 3100 55.3 3.49136169383427 1.7427251313047
"110" "Hylarana_nicobariensis" "still" 1825 46.2 3.26126286879249 1.66464197555613
