sp,environment,DF,SVL,logDF,logSVL
Rana_plancyi,still,1840,50,3.264817823,1.698970004
Rana_nigromaculata,still,2043,81,3.310268367,1.908485019
Rana_lessonae,still,1831,57,3.262688344,1.755874856
Rana_luctuosa,still,1500,68,3.176091259,1.832508913
Rana_erythraea,still,2459,48,3.390758529,1.681241237
Rana_temporalis,running,3100,55.3,3.491361694,1.742725131
Hylarana_nicobariensis,still,1825,46.2,3.261262869,1.664641976
Amnirana_galamensis,still,2500,78,3.397940009,1.892094603
Rana_picturata,running,2500,54,3.397940009,1.73239376
Rana_glandulosa,still,1380,55,3.139879086,1.740362689
Rana_baramica,still,2000,55.6,3.301029996,1.745074792
Rana_laterimaculata,running,3245,39,3.511214701,1.591064607
Rana_adenopleura,still,650,51,2.812913357,1.707570176
Odorrana_tormota,running,7000,33,3.84509804,1.51851394
Rana_hosii,running,4950,68,3.694605199,1.832508913
Rana_livida,running,5250,54,3.720159303,1.73239376
Rana_dalmatina,still,682,59,2.833784375,1.770852012
Rana_septentrionalis,still,605,63.1,2.781755375,1.800029359
Rana_taylori,still,1350,78,3.130333768,1.892094603
Calyptocephallela_gayi,still,866,120,2.937517892,2.079181246
Neobatrachus_sudelli,still,1509,40,3.17868924,1.602059991
Neobatrachus_pictus,still,1300,55,3.113943352,1.740362689
Neobatrachus_pelobatoides,still,816,39.6,2.911690159,1.597695186
Uperoleia_laevigata,still,2260,35,3.354108439,1.544068044
Pseudophryne_bibronii,still,2640,30,3.421603927,1.477121255
Geocrinia_victoriana,still,2676,27,3.427486109,1.431363764
Crinia_riparia,running,2735,25.2,3.436957331,1.401400541
Hylomantis_granulosa,running,1828,45.8,3.261976191,1.660865478
Hylomantis_lemur,still,2396,40.8,3.379486814,1.610660163
Pachymedusa_dacnicolor,still,1727,82.6,3.237292338,1.916980047
Agalychnis_litodryas,still,1664,72.2,3.221153322,1.858537198
Agalychnis_spurrelli,still,893,75.6,2.950851459,1.878521796
Agalychnis_callidryas,still,2006,59,3.302330929,1.770852012
Agalychnis_saltator,still,1800,54,3.255272505,1.73239376
Agalychnis_annae,running,1165,73.9,3.066325925,1.868644438
Phyllomedusa_bicolor,still,940,103,2.973127854,2.012837225
Phyllomedusa_tarsius,still,870,90,2.939519253,1.954242509
Phyllomedusa_bahiana,still,960,74.5,2.982271233,1.872156273
Phyllomedusa_tomopterna,still,1790,54,3.252853031,1.73239376
Phyllomedusa_atelopoides,still,1150,37.4,3.06069784,1.572871602
Phyllomedusa_duellmani,still,950,54.2,2.977723605,1.733999287
Phyllomedusa_palliata,still,1500,43.8,3.176091259,1.641474111
Phyllomedusa_nordestina,still,2076,42.1,3.317227349,1.624282096
Phyllomedusa_megacephala,running,1722,43.2,3.236033147,1.635483747
Phyllomedusa_centralis,running,1451,42,3.161667412,1.62324929
Litoria_leucova,running,4500,35.4,3.653212514,1.549003262
Litoria_spartacus,running,2919,37.5,3.465234095,1.574031268
Litoria_wollastoni,running,2950,42.7,3.469822016,1.630427875
Litoria_latopalmata,still,2900,39,3.462397998,1.591064607
Litoria_pallida,still,1963,34,3.2929203,1.531478917
Litoria_inermis,still,3800,33,3.579783597,1.51851394
Nyctimystes_cheesmani,running,1900,40,3.278753601,1.602059991
Litoria_thesaurensis,still,1774,65,3.248953615,1.812913357
Litoria_impura,still,1240,42,3.093421685,1.62324929
Litoria_rheocola,running,2500,35.5,3.397940009,1.550228353
Litoria_gracilenta,still,2750,38,3.439332694,1.579783597
Litoria_raniformis,still,900,79.9,2.954242509,1.902546779
Cyclorana_brevipes,still,1930,45,3.285557309,1.653212514
Cyclorana_cryptotis,still,1060,41,3.025305865,1.612783857
Cyclorana_cultripes,still,1879,52,3.27392678,1.716003344
Myersiohyla_kanaima,running,3600,37.8,3.556302501,1.5774918
Hyloscirtus_colymba,running,3520,37,3.546542663,1.568201724
Hyloscirtus_phyllognathus,running,2588,34,3.412964272,1.531478917
Hyloscirtus_armatus,running,3600,68.5,3.556302501,1.835690571
Bokermannohyla_hylax,running,2000,61.5,3.301029996,1.788875116
Bokermannohyla_circumdata,running,1460,70,3.164352856,1.84509804
Aplastodiscus_albofrenatus,running,2500,40,3.397940009,1.602059991
Aplastodiscus_arildae,running,2847,41.6,3.454387467,1.619093331
Aplastodiscus_albosignatus,running,2630,52,3.419955748,1.716003344
Hypsiboas_cinerascens,still,1390,44,3.1430148,1.643452676
Hypsiboas_semilineatus,still,1014,51,3.006037955,1.707570176
Hypsiboas_roraima,running,2616,44.9,3.41763774,1.652246341
Hypsiboas_microderma,running,3300,34,3.51851394,1.531478917
Hypsiboas_ornatissimus,still,2855,31,3.455606113,1.491361694
Hypsiboas_fasciatus,still,2530,40.3,3.403120521,1.605305046
Hypsiboas_albopunctatus,still,2168,60,3.336059278,1.77815125
Hypsiboas_pellucens,still,800,61.6,2.903089987,1.789580712
Hypsiboas_rufitelus,still,1600,49.2,3.204119983,1.691965103
Hypsiboas_pardalis,still,1133,69,3.05422991,1.838849091
Hypsiboas_ericae,running,2700,34,3.431363764,1.531478917
Hypsiboas_semiguttatus,running,2450,46.1,3.389166084,1.663700925
Hypsiboas_joaquini,running,1700,56.4,3.230448921,1.751279104
Hypsiboas_bischoffi,still,1750,46.1,3.243038049,1.663700925
Sphaenorhynchus_orophilus,still,2350,32,3.371067862,1.505149978
Scinax_crospedospilus,still,1350,33.3,3.130333768,1.522444234
Scinax_fuscovarius,still,855,47.1,2.931966115,1.673020907
Pseudis_bolbodactyla,still,1937,45,3.287129621,1.653212514
Dendropsophus_triangulum,still,2298,28,3.361350024,1.447158031
Dendropsophus_leucophyllatus,still,2482,36,3.394801777,1.556302501
Dendropsophus_nanus,still,4200,22,3.62324929,1.342422681
Argenteohyla_siemersi,still,1882,70,3.274619619,1.84509804
Trachycephalus_coriaceus,still,2090,63,3.320146286,1.799340549
Trachycephalus_mesophaeus,still,1014,85,3.006037955,1.929418926
Osteocephalus_taurinus,still,1501,85,3.176380692,1.929418926
Pseudacris_ornata,still,2651,39,3.423409728,1.591064607
Pseudacris_brachyphona,still,2394,32,3.379124146,1.505149978
Pseudacris_triseriata,still,2776,32,3.443419462,1.505149978
Exerodonta_sumichrasti,running,2510,27.7,3.399673721,1.442479769
Exerodonta_melanomma,running,2336,29.9,3.368472838,1.475671188
Plectrohyla_cyclada,running,2072,39.5,3.316389751,1.596597096
Ptychohyla_spinipollex,running,4300,41.2,3.633468456,1.614897216
Duellmanohyla_rufioculis,running,2320,30,3.365487985,1.477121255
Ptychohyla_leonhardschultzei,running,2750,35.6,3.439332694,1.551449998
Tlalocohyla_picta,still,2661,21.4,3.425044875,1.330413773
Tlalocohyla_loquax,still,2323,44.7,3.36604921,1.650307523
Isthmohyla_pseudopuma,still,956,41.4,2.980457892,1.617000341
Isthmohyla_tica,running,2228,34.1,3.347915187,1.532754379
Isthmohyla_rivularis,running,2420,34,3.383815366,1.531478917
Triprion_petasatus,still,2096,60.8,3.321391278,1.783903579
Smilisca_baudinii,still,350,76,2.544068044,1.880813592
Smilisca_sordida,running,2695,45,3.43055877,1.653212514
Smilisca_fodiens,still,2230,62.6,3.348304863,1.796574333
Smilisca_puma,still,740,38.1,2.86923172,1.580924976
Smilisca_phaeota,still,372,65.5,2.57054294,1.8162413
Hyla_squirella,still,3344,36,3.524266269,1.556302501
Hyla_andersonii,still,1100,51,3.041392685,1.707570176
Hyla_femoralis,still,2600,37,3.414973348,1.568201724
Ceratophrys_cornuta,still,2176,72,3.337658891,1.857332496
Chacophrys_pierottii,still,4357,53.1,3.63918756,1.725094521
Ceratophrys_cranwelli,still,1715,130,3.234264124,2.113943352
Ceratophrys_ornata,still,2000,125.8,3.301029996,2.099680641
Macrogenioglottus_alipioi,still,515,100,2.711807229,2
Odontophrynus_cultripes,still,660,60,2.819543936,1.77815125
Odontophrynus_americanus,still,1035,58,3.01494035,1.763427994
Odontophrynus_occidentalis,running,820,60,2.913813852,1.77815125
Odontophrynus_achalensis,running,933,49.4,2.969881644,1.693726949
Proceratophrys_cristiceps,running,940,50.2,2.973127854,1.700703717
Proceratophrys_bigibbosa,running,1050,43.8,3.021189299,1.641474111
Proceratophrys_cururu,running,800,43.1,2.903089987,1.63447727
Crossodactylus_schmidti,running,3306,30,3.519302849,1.477121255
Hylodes_phyllodes,running,5000,31.4,3.698970004,1.496929648
Hylodes_sazimai,running,4750,28.5,3.67669361,1.45484486
Alsodes_nodosus,running,1140,75.85,3.056904851,1.879955585
Hylorina_sylvatica,still,1252,56,3.097604329,1.748188027
Physalaemus_signifer,still,1210,25.9,3.08278537,1.413299764
Leptodactylus_labyrinthicus,still,391,170,2.592176757,2.230448921
Leptodactylus_elenae,still,1160,45.2,3.064457989,1.655138435
Allophryne_ruthveni,still,4645,20.6,3.666985718,1.31386722
Hyalinobatrachium_mondolfii,running,5106,22.5,3.70808081,1.352182518
Hyalinobatrachium_orientale,running,4819,24.5,3.682956926,1.389166084
Centrolene_geckoideum,running,3828,77,3.582971929,1.886490725
Atelopus_franciscus,running,3320,21,3.521138084,1.322219295
Atelopus_flavescens,running,2725,30,3.435366507,1.477121255
Atelopus_varius,running,2350,41,3.371067862,1.612783857
Dendrophryniscus_minutus,still,3900,17,3.591064607,1.230448921
Bufo_longinasus,running,2329,29,3.367169489,1.462397998
Bufo_gundlachi,still,2669,34,3.426348574,1.531478917
Bufo_taladai,running,768,138,2.88536122,2.139879086
Bufo_empusus,still,1549,76,3.190051418,1.880813592
Bufo_granulosus,still,2906,70,3.46329561,1.84509804
Bufo_beebei,still,3150,51,3.498310554,1.707570176
Bufo_schneideri,still,700,180,2.84509804,2.255272505
Bufo_arenarum,still,1100,112,3.041392685,2.049218023
Bufo_ocellatus,still,1378,53,3.139249218,1.72427587
Bufo_castaneoticus,still,1650,37.7,3.217483944,1.57634135
Bufo_coccifer,still,2512,62,3.400019635,1.792391689
Bufo_ibarrai,still,1700,82,3.230448921,1.913813852
Bufo_melanochlorus,running,1700,65,3.230448921,1.812913357
