sp,environment,DF,SVL,logDF,logSVL
Physalaemus_albonotatus,still,2399,32.4,3.380030248,1.51054501
Physalaemus_cuvieri,still,690,25.9,2.838849091,1.413299764
Physalaemus_ephippifer,still,840,28,2.924279286,1.447158031
Physalaemus_biligonigerus,still,568,45,2.754348336,1.653212514
Physalaemus_barrioi,still,2265,29.45,3.355068206,1.469085299
Lithodytes_lineatus,still,2600,47,3.414973348,1.672097858
Leptodactylus_chaquensis,still,365,99.7,2.562292864,1.998695158
Leptodactylus_ocellatus,still,175,120,2.243038049,2.079181246
Leptodactylus_leptodactyloides,still,1200,48,3.079181246,1.681241237
Leptodactylus_melanonotus,still,1840,46,3.264817823,1.662757832
Leptodactylus_podicipinus,still,1970,44.7,3.294466226,1.650307523
Leptodactylus_diedrus,still,820,40.4,2.913813852,1.606381365
Leptodactylus_griseigularis,still,2770,51,3.442479769,1.707570176
Leptodactylus_rhodonotus,still,2000,79,3.301029996,1.897627091
Leptodactylus_vastus,still,430,180.3,2.633468456,2.255995727
Leptodactylus_knudseni,still,500,159,2.698970004,2.201397124
Leptodactylus_pentadactylus,still,545,177,2.736396502,2.247973266
Leptodactylus_mystacinus,still,2275,65,3.356981401,1.812913357
Leptodactylus_spixi,still,1634,43,3.213252052,1.633468456
Leptodactylus_notoaktites,still,1230,50.8,3.089905111,1.705863712
Leptodactylus_didymus,still,780,46.7,2.892094603,1.669316881
Leptodactylus_mystaceus,still,1056,52.2,3.023663918,1.717670503
Leptodactylus_fuscus,still,560,52.1,2.748188027,1.716837723
Leptodactylus_bufonius,still,1500,53.6,3.176091259,1.72916479
Leptodactylus_longirostris,still,2315,40,3.364550995,1.602059991
Leptodactylus_gracilis,still,1970,47.8,3.294466226,1.679427897
Hyalinobatrachium_valerioi,running,7250,24,3.860338007,1.380211242
Hyalinobatrachium_pellucidum,running,5039,21.4,3.702344358,1.330413773
Hyalinobatrachium_colymbiphyllum,running,4500,27,3.653212514,1.431363764
Hyalinobatrachium_iaspidiense,running,4940,20.1,3.693726949,1.303196057
Hyalinobatrachium_taylori,running,4495,21.6,3.652729696,1.334453751
Hyalinobatrachium_ignioculus,running,4920,23,3.691965103,1.361727836
Hyalinobatrachium_eccentricum,running,4160,23,3.619093331,1.361727836
Hyalinobatrachium_crurifasciatum,running,4300,24,3.633468456,1.380211242
Hyalinobatrachium_carlesvilai,running,4838,23.6,3.684665864,1.372912003
Hyalinobatrachium_fleischmanni,running,5395,25.5,3.731991449,1.40654018
Hyalinobatrachium_fragile,running,3846,24.5,3.58500928,1.389166084
Hyalinobatrachium_orocostale,running,3435,25.5,3.535926741,1.40654018
Hyalinobatrachium_pallidum,running,3259,22.4,3.51308436,1.350248018
Vitreorana_eurygnatha,running,4850,22.5,3.685741739,1.352182518
Vitreorana_antisthenesi,running,5432,27,3.734959761,1.431363764
Vitreorana_gorzulae,running,4787,22.5,3.680063427,1.352182518
Vitreorana_helenae,running,4495,20.4,3.652729696,1.309630167
Teratohyla_pulverata,running,5950,29,3.774516966,1.462397998
Teratohyla_midas,running,4680,26.8,3.670245853,1.428134794
Teratohyla_spinosa,running,7000,20,3.84509804,1.301029996
Cochranella_granulosa,running,4250,29,3.62838893,1.462397998
Cochranella_mache,running,5410,24,3.733197265,1.380211242
Cochranella_euknemos,running,4200,25,3.62324929,1.397940009
Espadarana_prosoblepon,running,5758,28,3.760271661,1.447158031
Rulyrana_spiculata,running,4639,27.7,3.666424373,1.442479769
Nymphargus_pluvialis,running,3941,26.5,3.595606435,1.423245874
Nymphargus_griffithsi,running,4107,24.2,3.613524703,1.383815366
Centrolene_daidaleum,running,6120,24.1,3.786751422,1.382017043
Centrolene_savagei,running,6214,24.1,3.793371249,1.382017043
Centrolene_peristictum,running,6878,20.6,3.837462171,1.31386722
Centrolene_venezuelense,running,4050,33.8,3.607455023,1.5289167
Centrolene_hesperium,running,3630,27.3,3.559906625,1.436162647
Centrolene_buckleyi,running,2500,34.7,3.397940009,1.540329475
Atelopus_pulcher,running,2429,29.3,3.385427515,1.46686762
Atelopus_spumarius,running,3375,29,3.528273777,1.462397998
Atelopus_peruensis,running,1950,38.5,3.290034611,1.58546073
Atelopus_chiriquiensis,running,2025,34,3.306425028,1.531478917
Atelopus_zeteki,running,1820,40,3.260071388,1.602059991
Bufo_marmoreus,running,1825,83,3.261262869,1.919078092
Bufo_nebulifer,still,1475,98,3.16879202,1.991226076
Bufo_quercicus,still,4750,32,3.67669361,1.505149978
Bufo_retiformis,still,3113,47,3.493179121,1.672097858
Bufo_houstonensis,still,2151,77,3.33264041,1.886490725
Pelophryne_misera,still,4000,21,3.602059991,1.322219295
Ansonia_longidigita,running,3500,50,3.544068044,1.698970004
Ansonia_hanitschi,running,5700,32,3.755874856,1.505149978
Ansonia_platysoma,running,8000,25,3.903089987,1.397940009
